,Yıl,Oyuncu,Yapım
0,1994,Erdal Özyağcılar,Bizimkiler
1,1994,Yasemin Yalçın,Haşlama Taşlama
2,1994,Yasemin Yalçın,Gülelim Eğlenelim
3,1994,Yasemin Yalçın,Bilinmiyor
4,1994,Pınar Deniz,Yargı
5,1994,Pınar Deniz,Yargı
6,1994,Ezgi Mola,Masumlar Apartmanı
7,1994,Ebru Şahin,Hercai
8,1994,Özge Özpirinçci,Kadın
9,1994,Aslı Enver,İstanbullu Gelin
10,1994,Burçin Terzioğlu,Poyraz Karayel
11,1994,Serenay Sarıkaya,Medcezir
12,1994,Serenay Sarıkaya,Medcezir
13,1994,Bergüzar Korel,Karadayı
14,1994,Meryem Uzerli,Muhteşem Yüzyıl
15,1994,Ayça Bingöl,Öyle Bir Geçer Zaman ki
16,1994,Beren Saat,Aşk-ı Memnu
17,1994,Beren Saat,Aşk-ı Memnu
18,1994,Bennu Yıldırımlar,Yaprak Dökümü
19,1994,Bergüzar Korel,Binbir Gece
20,1994,Özge Özberk,Kırık Kanatlar
21,1994,Sanem Çelik,Aliye
22,1994,Pınar Altuğ,Çocuklar Duymasın
23,1994,Selda Alkor,Asmalı Konak
24,1994,Gülben Ergen,Dadı
25,1994,Türkan Şoray,İkinci Bahar
26,1994,Meltem Cumbul,Yılan Hikayesi
27,1994,Hande Ataizi,Ruhsar
28,1994,Oya Başar,Olacak O Kadar
29,1994,Perran Kutman,Şehnaz Tango
30,1994,Yasemin Yalçın,İnce İnce Yasemince
31,1994,Oya Başar,Olacak O Kadar
32,1994,Ayça Ayşin Turan,Ada Masalı
33,1994,Burcu Özberk,Afili Aşk
34,1994,Demet Özdemir,Erkenci Kuş
35,1994,Ecem Erkek,Güzel Günler
36,1994,Ezgi Mola,Erşan Kuneri
37,1994,Günay Karacaoğlu,Gençliğim Eyvah
38,1994,Ecem Erkek,Güldür Güldür Show
39,1994,Pınar Altuğ,Çocuklar Duymasın
40,1994,Hande Erçel,Aşk Laftan Anlamaz
41,1994,Elçin Sangu,Kiralık Aşk
42,1994,Özge Özpirinçci,Aşk Yeniden
43,1994,Binnur Kaya,Aramızda Kalsın
44,1994,Gonca Vuslateri,Yalan Dünya
45,1994,Gupse Özay,Yalan Dünya
46,1994,Aslıhan Gürbüz,Yahşi Cazibe
47,1994,Demet Evgar,1 Kadın 1 Erkek
48,1994,Şebnem Bozoklu,Canım Ailem
49,1994,Binnur Kaya,Avrupa Yakası
50,1994,Hasibe Eren,Avrupa Yakası
51,1994,Gülse Birsel,Avrupa Yakası
52,1994,Gülse Birsel,Avrupa Yakası
53,1994,Demet Akbağ,Bir Demet Tiyatro
54,1994,Suna Pekuysal,Yeter Anne
55,1994,Oya Başar,Olacak O Kadar
56,1994,Demet Akbağ,Bir Demet Tiyatro
57,1994,Oya Başar,Olacak O Kadar
58,1994,Demet Akbağ,Bir Demet Tiyatro
59,1994,Demet Akbağ,Bir Demet Tiyatro
60,1994,Perran Kutman,Şehnaz Tango
61,1994,Perran Kutman,Şehnaz Tango
62,1994,Zuhal Olcay,Artist Palas
63,1994,Çağlar Ertuğrul,Teşkilat
64,1994,Taner Ölmez,Mucize Doktor
65,1994,Aras Bulut İynemli,Çukur
66,1994,Tolga Sarıtaş,Söz
67,1994,İlker Kaleli,Poyraz Karayel
68,1994,Çağatay Ulusoy,Medcezir
69,1994,Halit Ergenç,Muhteşem Yüzyıl
70,1994,Kenan İmirzalıoğlu,Karadayı
71,1994,Kıvanç Tatlıtuğ,Kuzey Güney
72,1994,Erkan Petekkaya,Öyle Bir Geçer Zaman ki
73,1994,Kenan İmirzalıoğlu,Ezel
74,1994,Kıvanç Tatlıtuğ,Aşk-ı Memnu
75,1994,Halil Ergün,Yaprak Dökümü
76,1994,Halit Ergenç,Binbir Gece
77,1994,Timuçin Esen,Hırsız Polis
78,1994,Özcan Deniz,Haziran Gecesi
79,1994,Mehmet Aslantuğ,Bir İstanbul Masalı
80,1994,Tamer Karadağlı,Çocuklar Duymasın
81,1994,Haluk Bilginer,Tatlı Hayat
82,1994,Mehmet Ali Alabora,Yılan Hikâyesi
83,1994,Kadir İnanır,Marziye
84,1994,Mehmet Aslantuğ,Sıcak Saatler
85,1994,Mehmet Aslantuğ,Sıcak Saatler
86,1994,Şevket Altuğ,Süper Baba
87,1994,Şevket Altuğ,Süper Baba
88,1994,Erdal Özyağcılar,Bizimkiler
89,1994,Mehmet Aslantuğ,Yalancı
90,1994,Kaan Urgancıoğlu,Yargı
91,1994,Salih Bademci,"Dilek Taşı, Kulüp, Terzi"
92,1994,Ayşe Kökçü,Bizimkiler
93,1994,Zuhal Olcay,Artist Palas
94,1994,Ayşe Kökçü,Bizimkiler
95,1994,Pınar Deniz,Yargı
96,1994,Pınar Deniz,Yargı
97,1994,Ezgi Mola,Masumlar Apartmanı
98,1994,Ebru Şahin,Hercai
99,1994,Özge Özpirinçci,Kadın
100,1994,Aslı Enver,İstanbullu Gelin
101,1994,Burçin Terzioğlu,Poyraz Karayel
102,1994,Serenay Sarıkaya,Medcezir
103,1994,Serenay Sarıkaya,Medcezir
104,1994,Bergüzar Korel,Karadayı
105,1994,Meryem Uzerli,Muhteşem Yüzyıl
106,1994,Ayça Bingöl,Öyle Bir Geçer Zaman ki
107,1994,İlayda Alişan,Seversin
108,1994,Beren Saat,Aşk-ı Memnu
109,1994,Bennu Yıldırımlar,Yaprak Dökümü
110,1994,Bergüzar Korel,Binbir Gece
111,1994,Özge Özberk,Kırık Kanatlar
112,1994,Sanem Çelik,Aliye
113,1994,Pınar Altuğ,Çocuklar Duymasın
114,1994,Selda Alkor,Asmalı Konak
115,1994,Gülben Ergen,Dadı
116,1994,Türkan Şoray,İkinci Bahar
117,1994,Meltem Cumbul,Yılan Hikayesi
118,1994,Hande Ataizi,Ruhsar
119,1994,Perran Kutman,Şehnaz Tango
120,1994,Perran Kutman,Şehnaz Tango
121,1994,Perran Kutman,Şehnaz Tango
122,1994,Beren Saat,Aşk-ı Memnu
123,1994,Hafsanur Sancaktutan,Ya Çok Seversen
